identity,label_index,support,precision,recall,f1-score,underrepresented,not_predicted
SalamanderID2025_323,299,1.0,0.5,1.0,0.6666666666666666,True,False
SalamanderID2025_327,303,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_329,305,1.0,0.3333333333333333,1.0,0.5,True,False
SalamanderID2025_33,306,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_330,307,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_332,309,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_333,310,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_337,312,2.0,0.2,0.5,0.2857142857142857,True,False
SalamanderID2025_338,313,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_340,316,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_342,318,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_345,320,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_346,321,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_347,322,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_351,326,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_354,328,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_355,329,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_356,330,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_357,331,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_36,334,2.0,1.0,0.5,0.6666666666666666,True,False
SalamanderID2025_361,336,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_362,337,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_363,338,2.0,0.5,0.5,0.5,True,False
SalamanderID2025_365,340,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_368,343,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_369,344,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_37,345,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_370,346,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_372,348,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_378,353,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_38,355,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_391,365,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_397,370,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_4,371,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_403,375,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_406,376,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_407,377,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_41,380,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_427,396,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_43,399,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_432,401,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_436,404,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_437,405,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_438,406,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_447,414,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_449,415,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_451,418,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_46,427,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_467,435,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_47,437,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_471,438,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_48,446,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_480,447,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_485,451,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_487,452,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_488,453,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_489,454,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_49,455,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_5,466,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_50,467,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_506,472,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_515,481,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_53,497,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_530,498,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_535,502,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_537,504,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_538,505,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_539,506,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_541,509,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_56,528,1.0,0.0,0.0,0.0,True,True
SalamanderID2025_565,534,0.0,0.0,0.0,0.0,True,True
SalamanderID2025_57,539,1.0,1.0,1.0,1.0,True,False
SalamanderID2025_577,547,0.0,0.0,0.0,0.0,True,True
